Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,OwnGoals,Age,Nationality,Rank
2019/20,300156.0,James Justin,James,Justin,D,n/a,Defender,Leicester City,LEI,1.0,26 years 182 days,England,1.0
2019/20,48260.0,Michael Keane,Michael,Keane,D,5.0,Centre Central Defender,Everton,EVE,1.0,31 years 225 days,England,1.0
2019/20,354397.0,Tim Krul,Tim,Krul,G,n/a,Goalkeeper,n/a,n/a,1.0,36 years 142 days,Netherlands,1.0
2019/20,44159.0,Victor Lindelöf,Victor,Lindelöf,D,n/a,Centre Central Defender,Manchester United,MUN,1.0,30 years 37 days,Sweden,1.0
2019/20,339647.0,Adrian Mariappa,Adrian,Mariappa,D,5.0,Centre Central Defender,n/a,n/a,1.0,37 years 325 days,Jamaica,1.0
2019/20,343686.0,Yerry Mina,Yerry,Mina,D,26.0,Central Defender,n/a,n/a,1.0,29 years 335 days,Colombia,1.0
2019/20,322089.0,Angelo Ogbonna,Angelo,Ogbonna,D,n/a,Central Defender,n/a,n/a,1.0,36 years 92 days,Italy,1.0
2019/20,345067.0,Alex Oxlade-Chamberlain,Alex,Oxlade-Chamberlain,M,15.0,Central Midfielder,n/a,n/a,1.0,31 years 8 days,England,1.0
2019/20,6723.0,Fernandinho,Fernando Luiz,Rosa,M,25.0,Centre Defensive Midfielder,n/a,n/a,1.0,39 years 111 days,Brazil,1.0
2019/20,315688.0,Antonio Rüdiger,Antonio,Rüdiger,D,22.0,Centre Central Defender,n/a,n/a,1.0,31 years 173 days,Germany,1.0
2019/20,259014.0,Tomás Soucek,Tomás,Soucek,M,28.0,Centre Defensive Midfielder,n/a,n/a,1.0,29 years 178 days,Czech Republic,1.0
2019/20,337920.0,Patrick van Aanholt,Patrick,van Aanholt,D,30.0,Left Full Back,n/a,n/a,1.0,33 years 360 days,Netherlands,1.0
2019/20,336893.0,Adam Webster,Adam,Webster,D,4.0,Defender,Brighton & Hove Albion,BHA,1.0,29 years 232 days,England,1.0
2019/20,340567.0,Chris Wood,Chris,Wood,F,11.0,Centre Striker,n/a,n/a,1.0,32 years 260 days,New Zealand,1.0
2019/20,288580.0,Kurt Zouma,Kurt,Zouma,D,4.0,Centre Central Defender,n/a,n/a,1.0,29 years 301 days,France,1.0
2019/20,114730.0,Davy Pröpper,Davy,Pröpper,M,14.0,Centre Central Midfielder,n/a,n/a,0.0,32 years 356 days,Netherlands,33.0
