Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Appearances,Age,Nationality,Rank
2024/25,322881.0,Mikkel Damsgaard,Mikkel,Damsgaard,M,24.0,Left/Centre Attacking Midfielder,Brentford,BRE,1.0,24 years 51 days,Denmark,1.0
2024/25,320523.0,Leif Davis,Leif,Davis,D,3.0,Left Full Back,Ipswich Town,IPS,1.0,24 years 236 days,England,1.0
2024/25,336892.0,Craig Dawson,Craig,Dawson,D,15.0,Centre Central Defender,Wolverhampton Wanderers,WOL,1.0,34 years 109 days,England,1.0
2024/25,314636.0,Richarlison,Richarlison,de Andrade,F,9.0,Left/Centre/Right Second Striker,Tottenham Hotspur,TOT,1.0,27 years 105 days,Brazil,1.0
2024/25,19595.0,Kevin De Bruyne,Kevin,De Bruyne,M,17.0,Left/Centre/Right Attacking Midfielder,Manchester City,MCI,1.0,33 years 56 days,Belgium,1.0
2024/25,360340.0,Bobby De Cordova-Reid,Bobby,De Cordova-Reid,F,14.0,Forward,Leicester City,LEI,1.0,31 years 203 days,Jamaica,1.0
2024/25,315355.0,Gabriel Jesus,Gabriel Fernando,de Jesus,F,9.0,Second Striker,Arsenal,ARS,1.0,27 years 142 days,Brazil,1.0
2024/25,362815.0,Matthijs de Ligt,Matthijs,de Ligt,D,4.0,Centre Central Defender,Manchester United,MUN,1.0,25 years 11 days,Netherlands,1.0
2024/25,360795.0,Liam Delap,Liam,Delap,F,19.0,Centre Striker,Ipswich Town,IPS,1.0,21 years 197 days,England,1.0
2024/25,359600.0,Kiernan Dewsbury-Hall,Kiernan,Dewsbury-Hall,M,22.0,Central Midfielder,Chelsea,CHE,1.0,25 years 352 days,England,1.0
2024/25,328378.0,Amad Diallo,Amad,Diallo,F,n/a,Forward,Manchester United,MUN,1.0,22 years 43 days,Cote D’Ivoire,1.0
2024/25,302686.0,Luis Díaz,Luis,Díaz,F,7.0,Left/Right Winger,Liverpool,LIV,1.0,27 years 223 days,Colombia,1.0
2024/25,327340.0,Tyler Dibling,Tyler,Dibling,M,33.0,Left/Centre/Right Attacking Midfielder,Southampton,SOU,1.0,18 years 188 days,England,1.0
2024/25,300571.0,Lucas Digne,Lucas,Digne,D,12.0,Left Full Back,Aston Villa,AVL,1.0,31 years 34 days,France,1.0
2024/25,322882.0,Issa Diop,Issa,Diop,D,31.0,Centre Central Defender,Fulham,FUL,1.0,27 years 227 days,France,1.0
2024/25,294007.0,Matt Doherty,Matt,Doherty,D,2.0,Right Full Back,Wolverhampton Wanderers,WOL,1.0,32 years 220 days,Ireland,1.0
2024/25,345865.0,Jérémy Doku,Jérémy,Doku,F,11.0,Left/Right Winger,Manchester City,MCI,1.0,22 years 88 days,Belgium,1.0
2024/25,347497.0,Nicolás Domínguez,Nicolás,Domínguez,M,16.0,Centre Central Midfielder,Nottingham Forest,NFO,1.0,26 years 56 days,Argentina,1.0
2024/25,336542.0,Danilo,Danilo,dos Santos de Oliveira,M,28.0,Midfielder,Nottingham Forest,NFO,1.0,23 years 116 days,Brazil,1.0
2024/25,257590.0,Rúben Dias,Rúben,dos Santos Gato Alves Dias,D,3.0,Centre Central Defender,Manchester City,MCI,1.0,27 years 101 days,Portugal,1.0
2024/25,202648.0,Gabriel Magalhães,Gabriel,dos Santos Magalhães,D,6.0,Centre Central Defender,Arsenal,ARS,1.0,26 years 248 days,Brazil,1.0
2024/25,316524.0,Cheick Doucouré,Cheick,Doucouré,M,28.0,Centre Defensive Midfielder,Crystal Palace,CRY,1.0,24 years 228 days,Mali,1.0
2024/25,222694.0,Abdoulaye Doucouré,Abdoulaye,Doucouré,M,16.0,Centre Central Midfielder,Everton,EVE,1.0,31 years 235 days,Mali,1.0
2024/25,361163.0,Flynn Downes,Flynn,Downes,M,4.0,Midfielder,Southampton,SOU,1.0,25 years 216 days,England,1.0
2024/25,13742.0,Lewis Dunk,Lewis,Dunk,D,30.0,Defender,Brighton & Hove Albion,BHA,1.0,32 years 276 days,England,1.0
2024/25,337015.0,Jhon Durán,Jhon,Durán,F,9.0,Striker,Aston Villa,AVL,1.0,20 years 254 days,Colombia,1.0
2024/25,288980.0,Odsonne Édouard,Odsonne,Édouard,F,22.0,Centre Striker,Crystal Palace,CRY,1.0,26 years 220 days,France,1.0
2024/25,325528.0,Samuel Edozie,Samuel,Edozie,M,23.0,Left/Centre/Right Winger,Southampton,SOU,1.0,21 years 208 days,England,1.0
2024/25,342996.0,Anthony Elanga,Anthony,Elanga,F,21.0,Left Winger,Nottingham Forest,NFO,1.0,22 years 118 days,Sweden,1.0
2024/25,110232.0,Jonny Evans,Jonny,Evans,D,35.0,Centre Central Defender,Manchester United,MUN,1.0,36 years 233 days,Northern Ireland,1.0
2024/25,320724.0,Eberechi Eze,Eberechi,Eze,M,10.0,Centre Attacking Midfielder,Crystal Palace,CRY,1.0,26 years 55 days,England,1.0
2024/25,325441.0,Wout Faes,Wout,Faes,D,3.0,Central Defender,Leicester City,LEI,1.0,26 years 142 days,Belgium,1.0
2024/25,360844.0,Abdul Fatawu,Abdul,Fatawu,F,7.0,Right Winger,Leicester City,LEI,1.0,20 years 168 days,Ghana,1.0
2024/25,337917.0,Enzo Fernández,Enzo,Fernández,M,8.0,Midfielder,Chelsea,CHE,1.0,23 years 219 days,Argentina,1.0
2024/25,340457.0,Mark Flekken,Mark,Flekken,G,1.0,Goalkeeper,Brentford,BRE,1.0,31 years 71 days,Netherlands,1.0
2024/25,260162.0,Phil Foden,Phil,Foden,M,n/a,Centre Central Midfielder,Manchester City,MCI,1.0,24 years 87 days,England,1.0
2024/25,325335.0,Wesley Fofana,Wesley,Fofana,D,29.0,Centre Central Defender,Chelsea,CHE,1.0,23 years 250 days,France,1.0
