Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Appearances,Age,Nationality,Rank
2020/21,325869.0,Marcos Alonso,Marcos,Alonso,D,17.0,Left Full Back,n/a,n/a,13.0,33 years 239 days,Spain,353.0
2020/21,289837.0,Kean Bryan,Kean,Bryan,D,23.0,Centre Central Defender,Sheffield United,SHU,13.0,27 years 296 days,England,353.0
2020/21,27098.0,Nathaniel Clyne,Nathaniel,Clyne,D,17.0,Right Full Back,Crystal Palace,CRY,13.0,33 years 140 days,England,353.0
2020/21,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,13.0,35 years 221 days,Slovakia,353.0
2020/21,346759.0,Dean Henderson,Dean,Henderson,G,1.0,Goalkeeper,n/a,n/a,13.0,27 years 164 days,England,353.0
2020/21,252230.0,Branislav Ivanovic,Branislav,Ivanovic,D,20.0,Centre/Right Central Defender,West Bromwich Albion,WBA,13.0,40 years 183 days,Serbia,353.0
2020/21,356123.0,Javier Manquillo,Javier,Manquillo,D,22.0,Right Full Back,n/a,n/a,13.0,30 years 110 days,Spain,353.0
2020/21,331822.0,Marçal,Fernando,Marçal de Oliveira,D,21.0,Left Full Back,n/a,n/a,13.0,35 years 186 days,Brazil,353.0
2020/21,343697.0,Benjamin Mendy,Benjamin,Mendy,D,5.0,Left Full Back,n/a,n/a,13.0,30 years 37 days,France,353.0
2020/21,342475.0,Marvelous Nakamba,Marvelous,Nakamba,M,13.0,Defensive Midfielder,n/a,n/a,13.0,30 years 217 days,Zimbabwe,353.0
2020/21,340627.0,Dan Nlundulu,Dan,Nlundulu,F,11.0,Centre Striker,n/a,n/a,13.0,25 years 200 days,England,353.0
2020/21,345067.0,Alex Oxlade-Chamberlain,Alex,Oxlade-Chamberlain,M,15.0,Central Midfielder,n/a,n/a,13.0,31 years 8 days,England,353.0
2020/21,360096.0,Jamie Shackleton,Jamie,Shackleton,D,16.0,Right Full Back,Leeds United,LEE,13.0,24 years 320 days,England,353.0
2020/21,277441.0,Sergio Agüero,Sergio,Agüero,F,19.0,Centre Striker,n/a,n/a,12.0,36 years 82 days,Argentina,366.0
2020/21,342774.0,Daniel Amartey,Daniel,Amartey,D,12.0,Centre Central Defender,n/a,n/a,12.0,29 years 246 days,Ghana,366.0
2020/21,18272.0,Eric Bailly,Eric,Bailly,D,4.0,Centre Central Defender,n/a,n/a,12.0,30 years 133 days,Cote D’Ivoire,366.0
2020/21,347003.0,Bernard,Bernard Anício,Caldeira Duarte,M,10.0,Midfielder,n/a,n/a,12.0,31 years 350 days,Brazil,366.0
2020/21,337366.0,Ki-Jana Hoever,Ki-Jana,Hoever,D,17.0,Right Full Back,n/a,n/a,12.0,22 years 218 days,Netherlands,366.0
2020/21,341051.0,Arthur Masuaku,Arthur,Masuaku,D,26.0,Left Full Back,n/a,n/a,12.0,30 years 290 days,DR Congo,366.0
2020/21,352025.0,Jakub Moder,Jakub,Moder,M,n/a,Midfielder,Brighton & Hove Albion,BHA,12.0,25 years 138 days,Poland,366.0
2020/21,359914.0,Joe Rodon,Joe,Rodon,D,6.0,Central Defender,n/a,n/a,12.0,26 years 306 days,Wales,366.0
2020/21,343487.0,Mohammed Salisu,Mohammed,Salisu,D,22.0,Central Defender,Southampton,SOU,12.0,25 years 128 days,Ghana,366.0
2020/21,323587.0,Morgan Gibbs-White,Morgan,Gibbs-White,M,10.0,Centre Central Midfielder,n/a,n/a,11.0,24 years 209 days,England,375.0
2020/21,314687.0,Aboubakar Kamara,Aboubakar,Kamara,F,47.0,Forward,n/a,n/a,11.0,29 years 169 days,Mauritania,375.0
2020/21,317864.0,Joshua King,Joshua,King,F,15.0,Left/Centre/Right Striker,n/a,n/a,11.0,32 years 221 days,Norway,375.0
2020/21,299714.0,Filip Krovinovic,Filip,Krovinovic,M,23.0,Midfielder,n/a,n/a,11.0,28 years 360 days,Croatia,375.0
2020/21,345135.0,Tariq Lamptey,Tariq,Lamptey,D,n/a,Defender,Brighton & Hove Albion,BHA,11.0,23 years 328 days,Ghana,375.0
2020/21,96938.0,Shane Long,Shane,Long,F,7.0,Centre Striker,Southampton,SOU,11.0,37 years 214 days,Ireland,375.0
2020/21,338506.0,Lys Mousset,Lys,Mousset,F,7.0,Centre Striker,n/a,n/a,11.0,28 years 197 days,France,375.0
2020/21,337813.0,Josh Onomah,Josh,Onomah,M,17.0,Centre Central Midfielder,n/a,n/a,11.0,27 years 118 days,England,375.0
2020/21,179282.0,Jack Robinson,Jack,Robinson,D,19.0,Left Full Back,Sheffield United,SHU,11.0,30 years 357 days,England,375.0
2020/21,326932.0,Robert Snodgrass,Robert,Snodgrass,M,77.0,Left/Right Attacking Midfielder,n/a,n/a,11.0,36 years 351 days,Scotland,375.0
2020/21,187388.0,Nathan Aké,Nathan,Aké,D,6.0,Left/Centre Central Defender,Manchester City,MCI,10.0,29 years 187 days,Netherlands,385.0
2020/21,337933.0,Cédric Soares,Cédric Ricardo,Alves Soares,D,12.0,Right Full Back,n/a,n/a,10.0,32 years 358 days,Portugal,385.0
2020/21,19302.0,Tom Cairney,Tom,Cairney,M,10.0,Left/Centre/Right Attacking Midfielder,Fulham,FUL,10.0,33 years 216 days,Scotland,385.0
2020/21,360824.0,Calum Chambers,Calum,Chambers,D,12.0,Defender,n/a,n/a,10.0,29 years 216 days,England,385.0
2020/21,322764.0,Hamza Choudhury,Hamza,Choudhury,M,4.0,Central Midfielder,n/a,n/a,10.0,26 years 327 days,England,385.0
2020/21,312092.0,Kieran Gibbs,Kieran,Gibbs,D,3.0,Left Full Back,West Bromwich Albion,WBA,10.0,34 years 332 days,England,385.0
2020/21,300740.0,Phil Jagielka,Phil,Jagielka,D,6.0,Centre Central Defender,n/a,n/a,10.0,42 years 6 days,England,385.0
2020/21,343093.0,Raúl Jiménez,Raúl,Jiménez,F,7.0,Striker,n/a,n/a,10.0,33 years 110 days,Mexico,385.0
2020/21,129760.0,Naby Keïta,Naby,Keïta,M,8.0,Centre Central Midfielder,n/a,n/a,10.0,29 years 195 days,Guinea,385.0
2020/21,343502.0,Pablo Marí,Pablo,Marí,D,22.0,Centre Central Defender,n/a,n/a,10.0,30 years 358 days,Spain,385.0
2020/21,43049.0,Joël Matip,Joël,Matip,D,32.0,Centre Central Defender,n/a,n/a,10.0,33 years 15 days,Cameroon,385.0
2020/21,356788.0,Carlos Vinícius,Carlos Vinícius,Alves Morais,F,95.0,Centre Striker,n/a,n/a,9.0,29 years 151 days,Brazil,396.0
2020/21,311979.0,Christian Fuchs,Christian,Fuchs,D,22.0,Left Full Back,n/a,n/a,9.0,38 years 138 days,Austria,396.0
2020/21,342398.0,Ozan Kabak,Ozan,Kabak,D,5.0,Centre Central Defender,n/a,n/a,9.0,24 years 151 days,Turkey,396.0
2020/21,354745.0,Juan Mata,Juan,Mata,M,64.0,Midfielder,n/a,n/a,9.0,36 years 117 days,Spain,396.0
2020/21,342773.0,Alex Telles,Alex,Nicolao Telles,D,15.0,Left Full Back,n/a,n/a,9.0,31 years 252 days,Brazil,396.0
2020/21,346867.0,Divock Origi,Divock,Origi,F,27.0,Centre Striker,n/a,n/a,9.0,29 years 127 days,Belgium,396.0
2020/21,360576.0,Morgan Sanson,Morgan,Sanson,M,11.0,Attacking Midfielder,n/a,n/a,9.0,30 years 5 days,France,396.0
2020/21,348160.0,Axel Tuanzebe,Axel,Tuanzebe,D,40.0,Centre Central Defender,n/a,n/a,9.0,26 years 283 days,DR Congo,396.0
2020/21,345072.0,Cengiz Ünder,Cengiz,Ünder,F,20.0,Left/Right Winger,n/a,n/a,9.0,27 years 40 days,Turkey,396.0
2020/21,363167.0,Rhys Williams,Rhys,Williams,D,n/a,Centre Central Defender,n/a,n/a,9.0,23 years 202 days,England,396.0
2020/21,347714.0,Andi Zeqiri,Andi,Zeqiri,F,9.0,Centre Striker,n/a,n/a,9.0,25 years 62 days,Switzerland,396.0
2020/21,160457.0,Fabian Delph,Fabian,Delph,M,8.0,Left/Centre Central Midfielder,n/a,n/a,8.0,34 years 276 days,England,407.0
2020/21,312587.0,Fraser Forster,Fraser,Forster,G,20.0,Goalkeeper,n/a,n/a,8.0,36 years 159 days,England,407.0
2020/21,335966.0,Kevin Long,Kevin,Long,D,26.0,Centre Central Defender,n/a,n/a,8.0,34 years 5 days,Ireland,407.0
2020/21,359397.0,Max Lowe,Max,Lowe,D,3.0,Left Full Back,n/a,n/a,8.0,27 years 104 days,England,407.0
2020/21,51519.0,James Tomkins,James,Tomkins,D,5.0,Defender,n/a,n/a,8.0,35 years 147 days,England,407.0
2020/21,345016.0,Kepa,Kepa,Arrizabalaga Revuelta,G,25.0,Goalkeeper,Chelsea,CHE,7.0,29 years 325 days,Spain,412.0
2020/21,356522.0,Jonny,Jonathan,Castro Otto,D,19.0,Defender,n/a,n/a,7.0,30 years 173 days,Spain,412.0
2020/21,41538.0,Joe Gomez,Joe,Gomez,D,2.0,Left/Centre/Right Central Defender,Liverpool,LIV,7.0,27 years 92 days,England,412.0
2020/21,323869.0,Kortney Hause,Kortney,Hause,D,30.0,Centre Central Defender,Aston Villa,AVL,7.0,29 years 38 days,England,412.0
2020/21,302911.0,Jean-Philippe Mateta,Jean-Philippe,Mateta,F,14.0,Centre Striker,n/a,n/a,7.0,27 years 56 days,France,412.0
2020/21,312582.0,Robin Olsen,Robin,Olsen,G,25.0,Goalkeeper,n/a,n/a,7.0,34 years 228 days,Sweden,412.0
2020/21,114730.0,Davy Pröpper,Davy,Pröpper,M,14.0,Centre Central Midfielder,n/a,n/a,7.0,32 years 356 days,Netherlands,412.0
2020/21,19300.0,Tim Ream,Tim,Ream,D,13.0,Left/Centre Central Defender,n/a,n/a,7.0,36 years 323 days,United States,412.0
2020/21,256106.0,Dale Stephens,Dale,Stephens,M,16.0,Centre Central Midfielder,Burnley,BUR,7.0,35 years 72 days,England,412.0
2020/21,284323.0,Josh Benson,Josh,Benson,M,10.0,Centre Central Midfielder,n/a,n/a,6.0,24 years 262 days,England,421.0
2020/21,346830.0,Eric García,Eric,García,D,25.0,Centre Central Defender,n/a,n/a,6.0,23 years 227 days,Spain,421.0
2020/21,289012.0,Owen Otasowie,Owen,Otasowie,M,8.0,Midfielder,n/a,n/a,6.0,23 years 230 days,United States,421.0
2020/21,360721.0,Japhet Tanganga,Japhet,Tanganga,D,6.0,Defender,n/a,n/a,6.0,25 years 145 days,England,421.0
2020/21,316560.0,Neco Williams,Neco,Williams,D,7.0,Right Full Back,n/a,n/a,6.0,23 years 132 days,Wales,421.0
2020/21,312091.0,DeAndre Yedlin,DeAndre,Yedlin,D,2.0,Right Full Back,n/a,n/a,6.0,31 years 45 days,United States,421.0
2020/21,97353.0,Charlie Austin,Charlie,Austin,F,32.0,Centre Striker,n/a,n/a,5.0,35 years 49 days,England,427.0
2020/21,355733.0,Kyle Edwards,Kyle,Edwards,M,29.0,Left Winger,West Bromwich Albion,WBA,5.0,26 years 188 days,England,427.0
2020/21,325644.0,Billy Gilmour,Billy,Gilmour,M,11.0,Central Midfielder,n/a,n/a,5.0,23 years 73 days,Scotland,427.0
2020/21,268675.0,Neeskens Kebano,Neeskens,Kebano,M,21.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,5.0,32 years 166 days,DR Congo,427.0
2020/21,325478.0,Matty Longstaff,Matthew,Longstaff,M,25.0,Centre Defensive Midfielder,n/a,n/a,5.0,24 years 155 days,England,427.0
2020/21,361060.0,Cenk Tosun,Cenk,Tosun,F,23.0,Centre Striker,n/a,n/a,5.0,33 years 77 days,Turkey,427.0
2020/21,92622.0,Virgil van Dijk,Virgil,van Dijk,D,4.0,Centre Central Defender,Liverpool,LIV,5.0,33 years 46 days,Netherlands,427.0
2020/21,335366.0,Phil Bardsley,Phil,Bardsley,D,27.0,Right Full Back,Burnley,BUR,4.0,39 years 56 days,Scotland,434.0
2020/21,362739.0,Fábio Carvalho,Fábio Leandro,Freitas Gouveia de Carvalho,M,14.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,4.0,21 years 359 days,Portugal,434.0
2020/21,337819.0,Michael Hector,Michael,Hector,D,6.0,Centre Central Defender,n/a,n/a,4.0,32 years 35 days,Jamaica,434.0
2020/21,359214.0,Conor Hourihane,Conor,Hourihane,M,14.0,Centre Central Midfielder,n/a,n/a,4.0,33 years 203 days,Ireland,434.0
2020/21,360685.0,Daniel Jebbison,Daniel,Jebbison,F,21.0,Centre Striker,n/a,n/a,4.0,21 years 43 days,Canada,434.0
2020/21,268846.0,Jonjoe Kenny,Jonjoe,Kenny,D,16.0,Right Full Back,n/a,n/a,4.0,27 years 161 days,England,434.0
2020/21,320884.0,Joel Mumbongo,Joel,Mumbongo,F,25.0,Centre Striker,n/a,n/a,4.0,25 years 227 days,Sweden,434.0
2020/21,363211.0,Michael Obafemi,Michael,Obafemi,F,n/a,Forward,n/a,n/a,4.0,24 years 48 days,Ireland,434.0
2020/21,361516.0,Bailey Peacock-Farrell,Bailey,Peacock-Farrell,G,45.0,Goalkeeper,Burnley,BUR,4.0,27 years 299 days,Northern Ireland,434.0
2020/21,321317.0,Lee Peltier,Lee,Peltier,D,21.0,Right Full Back,West Bromwich Albion,WBA,4.0,37 years 256 days,England,434.0
2020/21,315859.0,Mamadou Sakho,Mamadou,Sakho,D,75.0,Centre Central Defender,n/a,n/a,4.0,34 years 192 days,France,434.0
2020/21,345869.0,Brandon Williams,Brandon,Williams,D,18.0,Left Full Back,n/a,n/a,4.0,23 years 355 days,England,434.0
2020/21,322884.0,Kiko Casilla,Francisco,Casilla Cortés,G,1.0,Goalkeeper,Leeds United,LEE,3.0,37 years 326 days,Spain,446.0
2020/21,328378.0,Amad Diallo,Amad,Diallo,F,n/a,Forward,n/a,n/a,3.0,22 years 43 days,Cote D’Ivoire,446.0
2020/21,280751.0,Jimmy Dunne,Jimmy,Dunne,D,3.0,Centre Central Defender,n/a,n/a,3.0,26 years 309 days,Ireland,446.0
2020/21,267842.0,Bernardo,Bernardo,Fernandes da Silva Junior,D,95.0,Left Full Back,n/a,n/a,3.0,29 years 101 days,Brazil,446.0
2020/21,277018.0,Sam Field,Sam,Field,M,8.0,Centre Central Midfielder,n/a,n/a,3.0,26 years 107 days,England,446.0
2020/21,337516.0,Anthony Gordon,Anthony,Gordon,F,10.0,Winger,n/a,n/a,3.0,23 years 181 days,England,446.0
2020/21,264968.0,Kamil Grosicki,Kamil,Grosicki,M,n/a,Right Winger,West Bromwich Albion,WBA,3.0,36 years 76 days,Poland,446.0
2020/21,357649.0,Wesley,Wesley,Moraes Ferreira da Silva,F,n/a,Striker,n/a,n/a,3.0,27 years 273 days,Brazil,446.0
2020/21,11241.0,Wes Morgan,Wes,Morgan,D,5.0,Centre Central Defender,n/a,n/a,3.0,40 years 215 days,Jamaica,446.0
2020/21,289743.0,Shkodran Mustafi,Shkodran,Mustafi,D,5.0,Centre Central Defender,n/a,n/a,3.0,32 years 128 days,Germany,446.0
2020/21,359203.0,Denis Odoi,Denis,Odoi,D,6.0,Defender,n/a,n/a,3.0,36 years 88 days,Ghana,446.0
2020/21,337207.0,Darren Randolph,Darren,Randolph,G,12.0,Goalkeeper,West Ham United,WHU,3.0,37 years 103 days,Ireland,446.0
2020/21,101878.0,Adrián,Adrián,San Miguel del Castillo,G,13.0,Goalkeeper,n/a,n/a,3.0,37 years 233 days,Spain,446.0
2020/21,320107.0,Will Smallbone,Will,Smallbone,M,18.0,Centre Central Midfielder,n/a,n/a,3.0,24 years 184 days,Ireland,446.0
2020/21,298457.0,Percy Tau,Percy,Tau,F,10.0,Left/Centre/Right Second Striker,n/a,n/a,3.0,30 years 102 days,South Africa,446.0
2020/21,359207.0,Yan Valery,Yan,Valery,D,27.0,Defender,n/a,n/a,3.0,25 years 183 days,Tunisia,446.0
2020/21,348237.0,Caleb Watts,Caleb,Watts,M,17.0,Centre Central Midfielder,n/a,n/a,3.0,22 years 220 days,Australia,446.0
2020/21,14741.0,Gaetano Berardi,Gaetano,Berardi,D,28.0,Left/Right Full Back,n/a,n/a,2.0,36 years 2 days,Switzerland,463.0
2020/21,321940.0,Carney Chukwuemeka,Carney,Chukwuemeka,M,17.0,Centre Central Midfielder,Aston Villa,AVL,2.0,20 years 308 days,England,463.0
2020/21,318800.0,Patrick Cutrone,Patrick,Cutrone,F,9.0,Centre Striker,Wolverhampton Wanderers,WOL,2.0,26 years 233 days,Italy,463.0
2020/21,320523.0,Leif Davis,Leif,Davis,D,3.0,Left Full Back,Leeds United,LEE,2.0,24 years 236 days,England,463.0
2020/21,342996.0,Anthony Elanga,Anthony,Elanga,F,21.0,Left Winger,n/a,n/a,2.0,22 years 118 days,Sweden,463.0
2020/21,340802.0,Rekeem Harper,Rekeem,Harper,M,36.0,Centre Central Midfielder,n/a,n/a,2.0,24 years 168 days,England,463.0
2020/21,281583.0,Alexandre Jankewitz,Alexandre,Jankewitz,M,11.0,Midfielder,n/a,n/a,2.0,22 years 242 days,Switzerland,463.0
2020/21,182251.0,Moise Kean,Moise,Kean,F,18.0,Centre Striker,n/a,n/a,2.0,24 years 177 days,Italy,463.0
2020/21,256028.0,Caoimhín Kelleher,Caoimhín,Kelleher,G,62.0,Goalkeeper,Liverpool,LIV,2.0,25 years 274 days,Ireland,463.0
2020/21,313341.0,Maxime Le Marchand,Maxime,Le Marchand,D,23.0,Centre Central Defender,n/a,n/a,2.0,34 years 317 days,France,463.0
2020/21,353831.0,Reiss Nelson,Reiss,Nelson,M,n/a,Left/Centre/Right Winger,Arsenal,ARS,2.0,24 years 257 days,England,463.0
2020/21,347183.0,Niels Nkounkou,Niels,Nkounkou,D,29.0,Left Full Back,n/a,n/a,2.0,23 years 296 days,France,463.0
2020/21,340592.0,Will Norris,Will,Norris,G,1.0,Goalkeeper,n/a,n/a,2.0,31 years 11 days,England,463.0
2020/21,30925.0,Jack O'Connell,Jack,O'Connell,D,5.0,Centre Central Defender,n/a,n/a,2.0,30 years 147 days,England,463.0
2020/21,324030.0,Emerson,Emerson,Palmieri dos Santos,D,33.0,Left Full Back,n/a,n/a,2.0,30 years 20 days,Italy,463.0
2020/21,134889.0,Felipe Anderson,Felipe Anderson,Pereira Gomes,M,7.0,Left Winger,n/a,n/a,2.0,31 years 130 days,Brazil,463.0
2020/21,325597.0,Lewis Richardson,Lewis,Richardson,F,19.0,Centre Striker,Burnley,BUR,2.0,21 years 198 days,England,463.0
2020/21,20301.0,Marek Rodák,Marek,Rodák,G,13.0,Goalkeeper,n/a,n/a,2.0,27 years 254 days,Slovakia,463.0
2020/21,359411.0,John Ruddy,John,Ruddy,G,26.0,Goalkeeper,n/a,n/a,2.0,37 years 304 days,England,463.0
2020/21,336730.0,Shola Shoretire,Shola,Shoretire,F,17.0,Left/Right Winger,n/a,n/a,2.0,20 years 203 days,England,463.0
2020/21,342494.0,Rúben Vinagre,Rúben Gonçalo,Silva Nascimento Vinagre,D,3.0,Left Full Back,Wolverhampton Wanderers,WOL,2.0,25 years 136 days,Portugal,463.0
2020/21,139956.0,Sidnei Tavares,Sidnei Wilson Vieira David,Tavares,M,n/a,Centre Central Midfielder,n/a,n/a,2.0,22 years 329 days,Portugal,463.0
2020/21,187644.0,Kostas Tsimikas,Kostas,Tsimikas,D,21.0,Left Full Back,Liverpool,LIV,2.0,28 years 103 days,Greece,463.0
2020/21,359414.0,Elliot Anderson,Elliot,Anderson,M,8.0,Centre Central Midfielder,n/a,n/a,1.0,21 years 291 days,Scotland,486.0
2020/21,336125.0,Nathan Broadhead,Nathan,Broadhead,F,33.0,Centre Striker,n/a,n/a,1.0,26 years 140 days,Wales,486.0
2020/21,347041.0,Jack Butland,Jack,Butland,G,1.0,Goalkeeper,n/a,n/a,1.0,31 years 166 days,England,486.0
2020/21,344972.0,David Button,David,Button,G,1.0,Goalkeeper,n/a,n/a,1.0,35 years 178 days,England,486.0
2020/21,333477.0,Oskar Buur,Oskar,Buur,D,2.0,Defender,n/a,n/a,1.0,26 years 145 days,Denmark,486.0
2020/21,334293.0,Willy Caballero,Willy,Caballero,G,1.0,Goalkeeper,n/a,n/a,1.0,42 years 330 days,Argentina,486.0
2020/21,282078.0,Scott Carson,Scott,Carson,G,33.0,Goalkeeper,n/a,n/a,1.0,38 years 355 days,England,486.0
2020/21,356700.0,Theo Corbeanu,Theo,Corbeanu,F,17.0,Right Winger,n/a,n/a,1.0,22 years 98 days,Canada,486.0
2020/21,360795.0,Liam Delap,Liam,Delap,F,19.0,Centre Striker,n/a,n/a,1.0,21 years 197 days,England,486.0
2020/21,293048.0,Will Fish,Will,Fish,D,24.0,Central Defender,n/a,n/a,1.0,21 years 188 days,England,486.0
2020/21,267496.0,Timothy Fosu-Mensah,Timothy,Fosu-Mensah,D,24.0,Left/Centre/Right Central Defender,n/a,n/a,1.0,26 years 234 days,Netherlands,486.0
2020/21,361348.0,Tyrese Francois,Tyrese,Francois,M,35.0,Central Midfielder,n/a,n/a,1.0,24 years 38 days,Australia,486.0
2020/21,325021.0,Jean-Philippe Gbamin,Jean-Philippe,Gbamin,M,25.0,Centre Defensive Midfielder,n/a,n/a,1.0,28 years 333 days,Cote D’Ivoire,486.0
2020/21,282268.0,Demarai Gray,Demarai,Gray,F,11.0,Left/Right Winger,n/a,n/a,1.0,28 years 56 days,Jamaica,486.0
2020/21,356653.0,Antwoine Hackford,Antwoine,Hackford,F,32.0,Centre Striker,Sheffield United,SHU,1.0,20 years 156 days,England,486.0
2020/21,325180.0,Ahmed Hegazy,Ahmed El Sayed Ali El Sayed,Hegazy,D,26.0,Centre Central Defender,n/a,n/a,1.0,33 years 211 days,Egypt,486.0
2020/21,288244.0,Niall Huggins,Niall,Huggins,D,2.0,Left Full Back,n/a,n/a,1.0,23 years 249 days,Wales,486.0
2020/21,336686.0,Odion Ighalo,Odion,Ighalo,F,n/a,Centre Striker,n/a,n/a,1.0,35 years 68 days,Nigeria,486.0
2020/21,17457.0,José Izquierdo,José,Izquierdo,F,21.0,Left Winger,n/a,n/a,1.0,32 years 47 days,Colombia,486.0
2020/21,337757.0,Martin Kelly,Martin,Kelly,D,34.0,Right Full Back,n/a,n/a,1.0,34 years 118 days,England,486.0
2020/21,336129.0,Reda Khadra,Reda,Khadra,M,17.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,1.0,23 years 50 days,Germany,486.0
2020/21,343543.0,Sead Kolasinac,Sead,Kolasinac,D,23.0,Left Full Back,n/a,n/a,1.0,31 years 64 days,Bosnia & Herzegovina,486.0
2020/21,359129.0,Terence Kongolo,Terence,Kongolo,D,15.0,Central Defender,n/a,n/a,1.0,30 years 191 days,Netherlands,486.0
2020/21,320519.0,Thakgalo Leshabela,Thakgalo,Leshabela,M,18.0,Centre Attacking Midfielder,n/a,n/a,1.0,24 years 340 days,South Africa,486.0
2020/21,355705.0,Hannibal Mejbri,Hannibal,Mejbri,M,46.0,Centre Attacking Midfielder,Manchester United,MUN,1.0,21 years 215 days,Tunisia,486.0
2020/21,311449.0,Jayson Molumby,Jayson,Molumby,M,8.0,Centre Central Midfielder,n/a,n/a,1.0,25 years 17 days,Ireland,486.0
2020/21,359912.0,Iliman Ndiaye,Iliman,Ndiaye,F,10.0,Forward,n/a,n/a,1.0,24 years 170 days,Senegal,486.0
2020/21,138615.0,João Virgínia,João Manuel,Neves Virgínia,G,12.0,Goalkeeper,Everton,EVE,1.0,24 years 318 days,Portugal,486.0
2020/21,361241.0,Jaden Philogene,Jaden,Philogene,F,19.0,Left/Right Winger,n/a,n/a,1.0,22 years 197 days,England,486.0
2020/21,356659.0,Kayne Ramsay,Kayne,Ramsay,D,2.0,Right Full Back,Southampton,SOU,1.0,23 years 318 days,England,486.0
2020/21,356802.0,Rúnar Rúnarsson,Rúnar,Rúnarsson,G,31.0,Goalkeeper,n/a,n/a,1.0,29 years 187 days,Iceland,486.0
2020/21,362767.0,Dane Scarlett,Dane,Scarlett,F,44.0,Centre Striker,n/a,n/a,1.0,20 years 152 days,England,486.0
2020/21,356756.0,Femi Seriki,Femi,Seriki,D,38.0,Right Full Back,Sheffield United,SHU,1.0,22 years 117 days,England,486.0
2020/21,356779.0,Islam Slimani,Islam,Slimani,F,13.0,Forward,n/a,n/a,1.0,36 years 66 days,Algeria,486.0
2020/21,319173.0,Zack Steffen,Zack,Steffen,G,1.0,Goalkeeper,n/a,n/a,1.0,29 years 143 days,United States,486.0
2020/21,296444.0,Neil Taylor,Neil,Taylor,D,3.0,Left Full Back,n/a,n/a,1.0,35 years 198 days,Wales,486.0
2020/21,342264.0,Allan Tchaptchet,Allan,Tchaptchet,D,21.0,Left/Right Central Defender,n/a,n/a,1.0,22 years 246 days,France,486.0
2020/21,280651.0,Fikayo Tomori,Fikayo,Tomori,D,23.0,Centre Central Defender,n/a,n/a,1.0,26 years 248 days,England,486.0
2020/21,358481.0,Jake Vokins,Jake,Vokins,D,n/a,Defender,n/a,n/a,1.0,24 years 159 days,England,486.0
2019/20,30533.0,Trent Alexander-Arnold,Trent,Alexander-Arnold,D,n/a,Right Full Back,Liverpool,LIV,38.0,25 years 321 days,England,1.0
2019/20,160671.0,Joelinton,Joelinton Cássio,Apolinário de Lira,F,7.0,Centre Striker,Newcastle United,NEW,38.0,28 years 9 days,Brazil,1.0
2019/20,53174.0,George Baldock,George,Baldock,D,2.0,Right Full Back,Sheffield United,SHU,38.0,31 years 167 days,Greece,1.0
2019/20,19511.0,Roberto Firmino,Roberto Firmino,Barbosa de Oliveira,F,9.0,Left/Centre/Right Striker,n/a,n/a,38.0,32 years 326 days,Brazil,1.0
2019/20,15123.0,Chris Basham,Chris,Basham,D,6.0,Centre Central Defender,Sheffield United,SHU,38.0,36 years 34 days,England,1.0
2019/20,340930.0,Conor Coady,Conor,Coady,D,4.0,Centre Central Defender,n/a,n/a,38.0,31 years 180 days,England,1.0
2019/20,354649.0,Rúben Neves,Rúben Diogo,da Silva Neves,M,8.0,Centre Central Midfielder,n/a,n/a,38.0,27 years 163 days,Portugal,1.0
2019/20,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,38.0,33 years 290 days,Spain,1.0
2019/20,356422.0,Leander Dendoncker,Leander,Dendoncker,M,32.0,Centre Central Midfielder,n/a,n/a,38.0,29 years 130 days,Belgium,1.0
2019/20,280895.0,Rui Patrício,Rui Pedro,dos Santos Patrício,G,1.0,Goalkeeper,n/a,n/a,38.0,36 years 190 days,Portugal,1.0
2019/20,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,38.0,35 years 221 days,Slovakia,1.0
2019/20,110232.0,Jonny Evans,Jonny,Evans,D,35.0,Centre Central Defender,n/a,n/a,38.0,36 years 233 days,Northern Ireland,1.0
2019/20,339679.0,Ben Foster,Ben,Foster,G,12.0,Goalkeeper,Watford,WAT,38.0,41 years 142 days,England,1.0
2019/20,336747.0,Danny Ings,Danny,Ings,F,n/a,Striker,n/a,n/a,38.0,32 years 31 days,England,1.0
2019/20,343093.0,Raúl Jiménez,Raúl,Jiménez,F,7.0,Striker,n/a,n/a,38.0,33 years 110 days,Mexico,1.0
2019/20,161345.0,Harry Maguire,Harry,Maguire,D,5.0,Centre Central Defender,Manchester United,MUN,38.0,31 years 171 days,England,1.0
2019/20,320612.0,Dwight McNeil,Dwight,McNeil,F,7.0,Left Winger,Burnley,BUR,38.0,24 years 275 days,England,1.0
2019/20,144579.0,Oliver Norwood,Oliver,Norwood,M,16.0,Centre Central Midfielder,Sheffield United,SHU,38.0,33 years 133 days,Northern Ireland,1.0
2019/20,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,38.0,30 years 169 days,England,1.0
