Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Saves,Age,Nationality,Rank
2021/22,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,117.0,30 years 169 days,England,6.0
2021/22,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,114.0,39 years 127 days,Poland,7.0
2021/22,354397.0,Tim Krul,Tim,Krul,G,n/a,Goalkeeper,n/a,n/a,106.0,36 years 142 days,Netherlands,8.0
2021/22,343670.0,Robert Sánchez,Robert,Sánchez,G,1.0,Goalkeeper,n/a,n/a,101.0,26 years 279 days,Spain,9.0
2021/22,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,98.0,37 years 241 days,France,10.0
2021/22,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,95.0,31 years 356 days,Argentina,11.0
2021/22,288169.0,Aaron Ramsdale,Aaron,Ramsdale,G,1.0,Goalkeeper,Arsenal,ARS,90.0,26 years 101 days,England,12.0
2021/22,346855.0,Vicente Guaita,Vicente,Guaita,G,13.0,Goalkeeper,n/a,n/a,84.0,37 years 226 days,Spain,13.0
2021/22,360351.0,David Raya,David,Raya,G,22.0,Goalkeeper,n/a,n/a,78.0,28 years 343 days,Spain,14.0
2021/22,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,76.0,31 years 326 days,Brazil,15.0
2021/22,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,73.0,35 years 221 days,Slovakia,16.0
2021/22,256071.0,Édouard Mendy,Édouard,Mendy,G,16.0,Goalkeeper,n/a,n/a,73.0,32 years 175 days,Senegal,16.0
2021/22,339679.0,Ben Foster,Ben,Foster,G,12.0,Goalkeeper,Watford,WAT,70.0,41 years 142 days,England,18.0
2021/22,312587.0,Fraser Forster,Fraser,Forster,G,20.0,Goalkeeper,n/a,n/a,68.0,36 years 159 days,England,19.0
2021/22,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,60.0,31 years 6 days,Brazil,20.0
2021/22,362771.0,Álvaro Fernández,Álvaro,Fernández,G,1.0,Goalkeeper,n/a,n/a,49.0,26 years 132 days,Spain,21.0
2021/22,180847.0,Daniel Bachmann,Daniel,Bachmann,G,26.0,Goalkeeper,Watford,WAT,47.0,30 years 45 days,Austria,22.0
2021/22,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,44.0,34 years 264 days,England,23.0
2021/22,277023.0,Angus Gunn,Angus,Gunn,G,1.0,Goalkeeper,Norwich City,NOR,35.0,28 years 214 days,Scotland,24.0
2021/22,343383.0,Karl Darlow,Karl,Darlow,G,26.0,Goalkeeper,n/a,n/a,24.0,33 years 320 days,England,25.0
2021/22,347041.0,Jack Butland,Jack,Butland,G,1.0,Goalkeeper,n/a,n/a,17.0,31 years 166 days,England,26.0
2021/22,345016.0,Kepa,Kepa,Arrizabalaga Revuelta,G,25.0,Goalkeeper,Chelsea,CHE,11.0,29 years 325 days,Spain,27.0
2021/22,363204.0,Asmir Begovic,Asmir,Begovic,G,n/a,Goalkeeper,n/a,n/a,11.0,37 years 64 days,Bosnia & Herzegovina,27.0
2021/22,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,n/a,n/a,10.0,32 years 172 days,Germany,29.0
2021/22,313184.0,Freddie Woodman,Freddie,Woodman,G,1.0,Goalkeeper,Newcastle United,NEW,10.0,27 years 172 days,England,29.0
2021/22,318563.0,Wayne Hennessey,Wayne,Hennessey,G,13.0,Goalkeeper,Burnley,BUR,8.0,37 years 212 days,Wales,31.0
2021/22,334293.0,Willy Caballero,Willy,Caballero,G,1.0,Goalkeeper,Southampton,SOU,6.0,42 years 330 days,Argentina,32.0
2021/22,256028.0,Caoimhín Kelleher,Caoimhín,Kelleher,G,62.0,Goalkeeper,Liverpool,LIV,6.0,25 years 274 days,Ireland,32.0
2021/22,284443.0,Kristoffer Klaesson,Kristoffer,Klaesson,G,13.0,Goalkeeper,Leeds United,LEE,4.0,23 years 270 days,Norway,34.0
2021/22,359411.0,John Ruddy,John,Ruddy,G,26.0,Goalkeeper,n/a,n/a,4.0,37 years 304 days,England,34.0
2021/22,357590.0,Danny Ward,Danny,Ward,G,n/a,Goalkeeper,Leicester City,LEI,4.0,31 years 62 days,Wales,34.0
2021/22,135974.0,Jason Steele,Jason,Steele,G,n/a,Goalkeeper,Brighton & Hove Albion,BHA,3.0,34 years 5 days,England,37.0
2021/22,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,West Ham United,WHU,2.0,31 years 178 days,France,38.0
2021/22,299538.0,Jonas Lössl,Jonas,Lössl,G,49.0,Goalkeeper,Brentford,BRE,2.0,35 years 204 days,Denmark,38.0
2021/22,312582.0,Robin Olsen,Robin,Olsen,G,25.0,Goalkeeper,Aston Villa,AVL,2.0,34 years 228 days,Sweden,38.0
2021/22,319173.0,Zack Steffen,Zack,Steffen,G,1.0,Goalkeeper,n/a,n/a,2.0,29 years 143 days,United States,38.0
2021/22,356706.0,Jed Steer,Jed,Steer,G,31.0,Goalkeeper,n/a,n/a,1.0,31 years 335 days,England,42.0
2020/21,314643.0,Sam Johnstone,Sam,Johnstone,G,32.0,Goalkeeper,West Bromwich Albion,WBA,166.0,31 years 151 days,England,1.0
2020/21,288169.0,Aaron Ramsdale,Aaron,Ramsdale,G,1.0,Goalkeeper,n/a,n/a,147.0,26 years 101 days,England,2.0
2020/21,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,142.0,31 years 356 days,Argentina,3.0
2020/21,186584.0,Illan Meslier,Illan,Meslier,G,1.0,Goalkeeper,Leeds United,LEE,140.0,24 years 174 days,France,4.0
2020/21,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,Fulham,FUL,116.0,31 years 178 days,France,5.0
2020/21,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,114.0,37 years 241 days,France,6.0
2020/21,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Burnley,BUR,114.0,32 years 126 days,England,6.0
2020/21,346855.0,Vicente Guaita,Vicente,Guaita,G,13.0,Goalkeeper,n/a,n/a,106.0,37 years 226 days,Spain,8.0
2020/21,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,103.0,39 years 127 days,Poland,9.0
2020/21,280895.0,Rui Patrício,Rui Pedro,dos Santos Patrício,G,1.0,Goalkeeper,n/a,n/a,100.0,36 years 190 days,Portugal,10.0
2020/21,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,93.0,34 years 264 days,England,11.0
2020/21,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,90.0,30 years 169 days,England,12.0
2020/21,343383.0,Karl Darlow,Karl,Darlow,G,26.0,Goalkeeper,n/a,n/a,88.0,33 years 320 days,England,13.0
2020/21,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,88.0,37 years 292 days,Denmark,13.0
2020/21,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,n/a,n/a,86.0,32 years 172 days,Germany,15.0
2020/21,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,84.0,31 years 326 days,Brazil,16.0
2020/21,343670.0,Robert Sánchez,Robert,Sánchez,G,1.0,Goalkeeper,n/a,n/a,66.0,26 years 279 days,Spain,17.0
2020/21,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,66.0,31 years 6 days,Brazil,17.0
2020/21,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,60.0,33 years 290 days,Spain,19.0
