Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Dispossessed,Age,Nationality,Rank
2020/21,344329.0,Granit Xhaka,Granit,Xhaka,M,34.0,Central Midfielder,n/a,n/a,12.0,31 years 331 days,Switzerland,192.0
2020/21,277441.0,Sergio Agüero,Sergio,Agüero,F,19.0,Centre Striker,n/a,n/a,11.0,36 years 82 days,Argentina,200.0
2020/21,19302.0,Tom Cairney,Tom,Cairney,M,10.0,Left/Centre/Right Attacking Midfielder,Fulham,FUL,11.0,33 years 216 days,Scotland,200.0
2020/21,347003.0,Bernard,Bernard Anício,Caldeira Duarte,M,10.0,Midfielder,n/a,n/a,11.0,31 years 350 days,Brazil,200.0
2020/21,346392.0,Timothy Castagne,Timothy,Castagne,D,21.0,Right Full Back,n/a,n/a,11.0,28 years 262 days,Belgium,200.0
2020/21,356422.0,Leander Dendoncker,Leander,Dendoncker,M,32.0,Centre Central Midfielder,n/a,n/a,11.0,29 years 130 days,Belgium,200.0
2020/21,347827.0,Nampalys Mendy,Nampalys,Mendy,M,26.0,Centre Defensive Midfielder,n/a,n/a,11.0,32 years 61 days,Senegal,200.0
2020/21,315450.0,Takumi Minamino,Takumi,Minamino,M,18.0,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,11.0,29 years 220 days,Japan,200.0
2020/21,50135.0,Andy Robertson,Andy,Robertson,D,26.0,Left Full Back,Liverpool,LIV,11.0,30 years 165 days,Scotland,200.0
2020/21,346451.0,João Moutinho,João Filipe Iria,Santos Moutinho,M,28.0,Midfielder,n/a,n/a,11.0,37 years 350 days,Portugal,200.0
2020/21,336080.0,Ashley Westwood,Ashley,Westwood,M,8.0,Centre Central Midfielder,n/a,n/a,11.0,34 years 144 days,England,200.0
2020/21,288147.0,Martin Ødegaard,Martin,Ødegaard,M,8.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,11.0,25 years 250 days,Norway,200.0
2020/21,342617.0,Ola Aina,Ola,Aina,D,34.0,Right Full Back,Fulham,FUL,10.0,27 years 320 days,Nigeria,211.0
2020/21,355446.0,Edinson Cavani,Edinson,Cavani,F,10.0,Centre Striker,n/a,n/a,10.0,37 years 191 days,Uruguay,211.0
2020/21,345098.0,Tom Davies,Tom,Davies,M,22.0,Midfielder,n/a,n/a,10.0,26 years 54 days,England,211.0
2020/21,160681.0,Darnell Furlong,Darnell,Furlong,D,2.0,Right Full Back,West Bromwich Albion,WBA,10.0,28 years 297 days,England,211.0
2020/21,335850.0,Matthew Lowton,Matthew,Lowton,D,38.0,Right Full Back,n/a,n/a,10.0,35 years 75 days,England,211.0
2020/21,52229.0,James McArthur,James,McArthur,M,n/a,Central Midfielder,n/a,n/a,10.0,36 years 321 days,Scotland,211.0
2020/21,352025.0,Jakub Moder,Jakub,Moder,M,n/a,Midfielder,Brighton & Hove Albion,BHA,10.0,25 years 138 days,Poland,211.0
