Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,HitWoodwork,Age,Nationality,Rank
2023/24,342365.0,Zeki Amdouni,Zeki,Amdouni,F,25.0,Forward,Burnley,BUR,1.0,23 years 263 days,Switzerland,65.0
2023/24,346848.0,Sofyan Amrabat,Sofyan,Amrabat,M,4.0,Centre Central Midfielder,n/a,n/a,1.0,28 years 2 days,Morocco,65.0
2023/24,160671.0,Joelinton,Joelinton Cássio,Apolinário de Lira,F,7.0,Centre Striker,Newcastle United,NEW,1.0,28 years 9 days,Brazil,65.0
2023/24,362951.0,Cameron Archer,Cameron,Archer,F,19.0,Forward,Sheffield United,SHU,1.0,22 years 258 days,England,65.0
2023/24,160688.0,Jordan Ayew,Jordan,Ayew,F,9.0,Centre Striker,Crystal Palace,CRY,1.0,32 years 347 days,Ghana,65.0
2023/24,343384.0,Calvin Bassey,Calvin,Bassey,D,3.0,Left Full Back,Fulham,FUL,1.0,24 years 236 days,Nigeria,65.0
2023/24,302775.0,Rodrigo Bentancur,Rodrigo,Bentancur,M,30.0,Centre Central Midfielder,Tottenham Hotspur,TOT,1.0,27 years 59 days,Uruguay,65.0
2023/24,363132.0,Sander Berge,Sander,Berge,M,16.0,Centre Central Midfielder,n/a,n/a,1.0,26 years 191 days,Norway,65.0
2023/24,160732.0,Philip Billing,Philip,Billing,M,29.0,Centre Defensive Midfielder,Bournemouth,BOU,1.0,28 years 73 days,Denmark,65.0
2023/24,362065.0,Ben Brereton,Ben,Brereton,F,17.0,Left Winger,Sheffield United,SHU,1.0,25 years 127 days,Chile,65.0
2023/24,356740.0,Armando Broja,Armando,Broja,F,9.0,Striker,Chelsea,CHE,1.0,22 years 348 days,Albania,65.0
2023/24,356534.0,David Brooks,David,Brooks,M,36.0,Left/Centre/Right Attacking Midfielder,Bournemouth,BOU,1.0,27 years 46 days,Wales,65.0
2023/24,362646.0,Facundo Buonanotte,Facundo,Buonanotte,M,40.0,Centre Attacking Midfielder,n/a,n/a,1.0,19 years 244 days,Argentina,65.0
2023/24,19302.0,Tom Cairney,Tom,Cairney,M,10.0,Left/Centre/Right Attacking Midfielder,Fulham,FUL,1.0,33 years 216 days,Scotland,65.0
2023/24,346392.0,Timothy Castagne,Timothy,Castagne,D,21.0,Right Full Back,Fulham,FUL,1.0,28 years 262 days,Belgium,65.0
2023/24,27098.0,Nathaniel Clyne,Nathaniel,Clyne,D,17.0,Right Full Back,Crystal Palace,CRY,1.0,33 years 140 days,England,65.0
