Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,TotalHighClaim,Age,Nationality,Rank
2019/20,277767.0,Tom Heaton,Tom,Heaton,G,22.0,Goalkeeper,n/a,n/a,11.0,38 years 130 days,England,17.0
2019/20,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,10.0,31 years 326 days,Brazil,19.0
2019/20,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,10.0,33 years 290 days,Spain,19.0
2019/20,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,n/a,n/a,8.0,31 years 356 days,Argentina,21.0
2019/20,127990.0,Pepe Reina,Pepe,Reina,G,1.0,Goalkeeper,n/a,n/a,8.0,41 years 358 days,Spain,21.0
2019/20,340726.0,Paulo Gazzaniga,Paulo,Gazzaniga,G,13.0,Goalkeeper,n/a,n/a,7.0,32 years 234 days,Argentina,23.0
2019/20,101878.0,Adrián,Adrián,San Miguel del Castillo,G,13.0,Goalkeeper,n/a,n/a,7.0,37 years 233 days,Spain,23.0
2019/20,277023.0,Angus Gunn,Angus,Gunn,G,1.0,Goalkeeper,n/a,n/a,4.0,28 years 214 days,Scotland,25.0
2019/20,345203.0,Ørjan Nyland,Ørjan,Nyland,G,13.0,Goalkeeper,n/a,n/a,4.0,33 years 348 days,Norway,25.0
2019/20,202618.0,Claudio Bravo,Claudio,Bravo,G,25.0,Goalkeeper,n/a,n/a,1.0,41 years 132 days,Chile,27.0
2019/20,334293.0,Willy Caballero,Willy,Caballero,G,1.0,Goalkeeper,n/a,n/a,1.0,42 years 330 days,Argentina,27.0
2019/20,160300.0,Ralf Fährmann,Ralf,Fährmann,G,21.0,Goalkeeper,n/a,n/a,1.0,35 years 331 days,Germany,27.0
2019/20,57526.0,David Martin,David,Martin,G,18.0,Goalkeeper,West Ham United,WHU,1.0,38 years 214 days,England,27.0
2018/19,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,43.0,35 years 221 days,Slovakia,1.0
2018/19,339679.0,Ben Foster,Ben,Foster,G,12.0,Goalkeeper,Watford,WAT,32.0,41 years 142 days,England,2.0
2018/19,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,29.0,39 years 127 days,Poland,3.0
2018/19,363204.0,Asmir Begovic,Asmir,Begovic,G,n/a,Goalkeeper,n/a,n/a,24.0,37 years 64 days,Bosnia & Herzegovina,4.0
2018/19,299538.0,Jonas Lössl,Jonas,Lössl,G,49.0,Goalkeeper,Huddersfield Town,HUD,24.0,35 years 204 days,Denmark,4.0
2018/19,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,19.0,31 years 6 days,Brazil,6.0
2018/19,361176.0,Mathew Ryan,Mathew,Ryan,G,98.0,Goalkeeper,n/a,n/a,17.0,32 years 137 days,Australia,7.0
2018/19,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,16.0,31 years 326 days,Brazil,8.0
2018/19,234882.0,Neil Etheridge,Neil,Etheridge,G,1.0,Goalkeeper,n/a,n/a,15.0,34 years 198 days,Philippines,9.0
2018/19,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,15.0,34 years 264 days,England,9.0
2018/19,345016.0,Kepa,Kepa,Arrizabalaga Revuelta,G,25.0,Goalkeeper,Chelsea,CHE,14.0,29 years 325 days,Spain,11.0
2018/19,280895.0,Rui Patrício,Rui Pedro,dos Santos Patrício,G,1.0,Goalkeeper,n/a,n/a,14.0,36 years 190 days,Portugal,11.0
2018/19,318563.0,Wayne Hennessey,Wayne,Hennessey,G,13.0,Goalkeeper,n/a,n/a,14.0,37 years 212 days,Wales,11.0
2018/19,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,14.0,30 years 169 days,England,11.0
2018/19,346855.0,Vicente Guaita,Vicente,Guaita,G,13.0,Goalkeeper,n/a,n/a,13.0,37 years 226 days,Spain,15.0
2018/19,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,13.0,37 years 241 days,France,15.0
2018/19,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,12.0,37 years 292 days,Denmark,17.0
2018/19,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,n/a,n/a,10.0,32 years 172 days,Germany,18.0
2018/19,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,9.0,33 years 290 days,Spain,19.0
2018/19,277767.0,Tom Heaton,Tom,Heaton,G,22.0,Goalkeeper,n/a,n/a,8.0,38 years 130 days,England,20.0
2018/19,266361.0,Petr Cech,Petr,Cech,G,1.0,Goalkeeper,n/a,n/a,6.0,42 years 95 days,Czech Republic,21.0
2018/19,289224.0,Joe Hart,Joe,Hart,G,1.0,Goalkeeper,n/a,n/a,6.0,37 years 126 days,England,21.0
2018/19,301337.0,Sergio Rico,Sergio,Rico,G,25.0,Goalkeeper,Fulham,FUL,6.0,30 years 357 days,Spain,21.0
2018/19,277023.0,Angus Gunn,Angus,Gunn,G,1.0,Goalkeeper,n/a,n/a,5.0,28 years 214 days,Scotland,24.0
2018/19,359396.0,Ben Hamer,Ben,Hamer,G,n/a,Goalkeeper,n/a,n/a,5.0,36 years 277 days,England,24.0
2018/19,289289.0,Artur Boruc,Artur,Boruc,G,1.0,Goalkeeper,n/a,n/a,4.0,44 years 185 days,Poland,26.0
2018/19,344972.0,David Button,David,Button,G,1.0,Goalkeeper,n/a,n/a,3.0,35 years 178 days,England,27.0
2018/19,352583.0,Fabri,Fabricio,Agosto Ramírez,G,1.0,Goalkeeper,n/a,n/a,2.0,36 years 236 days,Spain,28.0
2018/19,334293.0,Willy Caballero,Willy,Caballero,G,1.0,Goalkeeper,n/a,n/a,2.0,42 years 330 days,Argentina,28.0
2018/19,340726.0,Paulo Gazzaniga,Paulo,Gazzaniga,G,13.0,Goalkeeper,n/a,n/a,2.0,32 years 234 days,Argentina,28.0
2018/19,283840.0,Marcus Bettinelli,Marcus,Bettinelli,G,13.0,Goalkeeper,n/a,n/a,1.0,32 years 91 days,England,31.0
2018/19,340787.0,Joel Coleman,Joel,Coleman,G,13.0,Goalkeeper,n/a,n/a,1.0,28 years 332 days,England,31.0
2018/19,359411.0,John Ruddy,John,Ruddy,G,26.0,Goalkeeper,n/a,n/a,1.0,37 years 304 days,England,31.0
2018/19,21225.0,Julian Speroni,Julian,Speroni,G,n/a,Goalkeeper,n/a,n/a,1.0,45 years 97 days,Argentina,31.0
2018/19,166315.0,Michel Vorm,Michel,Vorm,G,13.0,Goalkeeper,n/a,n/a,1.0,40 years 308 days,Netherlands,31.0
2017/18,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Burnley,BUR,57.0,32 years 126 days,England,1.0
2017/18,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,Swansea City,SWA,42.0,39 years 127 days,Poland,2.0
2017/18,361176.0,Mathew Ryan,Mathew,Ryan,G,98.0,Goalkeeper,n/a,n/a,38.0,32 years 137 days,Australia,3.0
2017/18,339679.0,Ben Foster,Ben,Foster,G,12.0,Goalkeeper,West Bromwich Albion,WBA,37.0,41 years 142 days,England,4.0
2017/18,363204.0,Asmir Begovic,Asmir,Begovic,G,n/a,Goalkeeper,n/a,n/a,35.0,37 years 64 days,Bosnia & Herzegovina,5.0
2017/18,266361.0,Petr Cech,Petr,Cech,G,1.0,Goalkeeper,n/a,n/a,33.0,42 years 95 days,Czech Republic,6.0
2017/18,318563.0,Wayne Hennessey,Wayne,Hennessey,G,13.0,Goalkeeper,n/a,n/a,31.0,37 years 212 days,Wales,7.0
2017/18,299538.0,Jonas Lössl,Jonas,Lössl,G,49.0,Goalkeeper,n/a,n/a,31.0,35 years 204 days,Denmark,7.0
2017/18,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,28.0,37 years 292 days,Denmark,9.0
2017/18,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,n/a,n/a,27.0,30 years 169 days,England,10.0
2017/18,135209.0,Thibaut Courtois,Thibaut,Courtois,G,1.0,Goalkeeper,n/a,n/a,26.0,32 years 104 days,Belgium,11.0
2017/18,347041.0,Jack Butland,Jack,Butland,G,1.0,Goalkeeper,n/a,n/a,25.0,31 years 166 days,England,12.0
2017/18,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,19.0,34 years 264 days,England,13.0
2017/18,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,19.0,31 years 6 days,Brazil,13.0
2017/18,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,17.0,37 years 241 days,France,15.0
2017/18,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,16.0,33 years 290 days,Spain,16.0
2017/18,15253.0,Heurelho Gomes,Heurelho,da Silva Gomes,G,1.0,Goalkeeper,n/a,n/a,15.0,43 years 190 days,Brazil,17.0
2017/18,328883.0,Robert Elliot,Robert,Elliot,G,37.0,Goalkeeper,n/a,n/a,15.0,38 years 115 days,Ireland,17.0
2017/18,162448.0,Simon Mignolet,Simon,Mignolet,G,22.0,Goalkeeper,n/a,n/a,15.0,36 years 170 days,Belgium,17.0
2017/18,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,n/a,n/a,13.0,35 years 221 days,Slovakia,20.0
2017/18,101878.0,Adrián,Adrián,San Miguel del Castillo,G,13.0,Goalkeeper,n/a,n/a,13.0,37 years 233 days,Spain,20.0
2017/18,343383.0,Karl Darlow,Karl,Darlow,G,26.0,Goalkeeper,n/a,n/a,11.0,33 years 320 days,England,22.0
2017/18,312587.0,Fraser Forster,Fraser,Forster,G,20.0,Goalkeeper,n/a,n/a,10.0,36 years 159 days,England,23.0
2017/18,327268.0,Loris Karius,Loris,Karius,G,18.0,Goalkeeper,Liverpool,LIV,10.0,31 years 62 days,Germany,23.0
2017/18,258324.0,Orestis Karnezis,Orestis,Karnezis,G,1.0,Goalkeeper,n/a,n/a,10.0,39 years 43 days,Greece,23.0
2017/18,336687.0,David Ospina,David,Ospina,G,n/a,Goalkeeper,n/a,n/a,6.0,35 years 358 days,Colombia,26.0
2017/18,21225.0,Julian Speroni,Julian,Speroni,G,n/a,Goalkeeper,n/a,n/a,6.0,45 years 97 days,Argentina,26.0
2017/18,289224.0,Joe Hart,Joe,Hart,G,1.0,Goalkeeper,n/a,n/a,4.0,37 years 126 days,England,28.0
2017/18,32020.0,Boaz Myhill,Boaz,Myhill,G,1.0,Goalkeeper,West Bromwich Albion,WBA,3.0,41 years 288 days,Wales,29.0
2017/18,202618.0,Claudio Bravo,Claudio,Bravo,G,25.0,Goalkeeper,n/a,n/a,2.0,41 years 132 days,Chile,30.0
2017/18,340726.0,Paulo Gazzaniga,Paulo,Gazzaniga,G,13.0,Goalkeeper,n/a,n/a,2.0,32 years 234 days,Argentina,30.0
2017/18,277767.0,Tom Heaton,Tom,Heaton,G,22.0,Goalkeeper,n/a,n/a,2.0,38 years 130 days,England,30.0
2017/18,334293.0,Willy Caballero,Willy,Caballero,G,1.0,Goalkeeper,n/a,n/a,1.0,42 years 330 days,Argentina,33.0
2017/18,277687.0,Lee Grant,Lee,Grant,G,n/a,Goalkeeper,Stoke City,STK,1.0,41 years 209 days,England,33.0
2017/18,335710.0,Sergio Romero,Sergio,Romero,G,1.0,Goalkeeper,n/a,n/a,1.0,37 years 183 days,Argentina,33.0
